name,address,industry,hourly_median_gender_gap_2018,bonus_median_gender_gap_2018
SYNNEX-CONCENTRIX UK LIMITED,"Tower+42,+Level+23+25+Old+Broad+Street,London,EC2N+1HQ",Other information technology service activities,5.3,14.8
T CLARKE PUBLIC LIMITED COMPANY,"45+Moorfields,London,United+Kingdom,EC2Y+9AE",,27.0,63.0
T. Rowe Price International Ltd,"60+Queen+Victoria+Street,London,United+Kingdom,EC4N+4TZ",Security and commodity contracts dealing activities,34.1,72.9
Talbot Underwriting Services Ltd,"60,+Threadneedle+Street,London,EC2R+8HP",,28.0,47.0
TAQA BRATANI LIMITED,"Cannon+Place,+78+Cannon+Street,London,United+Kingdom,EC4N+6AF",Extraction of crude petroleum,30.5,-5.8
TATA COMMUNICATIONS (UK) LIMITED,"Vintners+Place,68+Upper+Thames+Street,London,United+Kingdom,EC4V+3BJ",Other business support service activities n.e.c.,12.7,28.5
TAYLOR WESSING SERVICES LIMITED,"5,+New+Street+Square,London,EC4A+3TW",Other business support service activities n.e.c.,32.8,53.5
TCLARKE CONTRACTING LIMITED,"45,+Moorfields,London,EC2Y+9AE",,25.0,0.0
TCLARKE SERVICES LIMITED,"45,+Moorfields,London,EC2Y+9AE",,56.0,81.0
TECHNIP UK LIMITED,"One,St.+Paul's+Churchyard,London,United+Kingdom,EC4M+8AP",Support activities for petroleum and natural gas extraction,30.2,29.3
TECHNIPFMC UMBILICALS LTD,"One,St.+Paul's+Churchyard,London,United+Kingdom,EC4M+8AP",Other manufacturing n.e.c.,-3.0,11.0
TEMENOS UK LIMITED,"Fifth+Floor,71+Fenchurch+Street,London,United+Kingdom,EC3M+4TD",Other software publishing,22.0,14.0
THB GROUP LIMITED,"107+Leadenhall+Street,London,United+Kingdom,EC3A+4AF",Activities of head offices,40.4,33.3
THE BANK OF NOVA SCOTIA,"201,+Bishopsgate,London,EC2M+3NS",,37.0,76.0
The Big Lottery Fund,"1+Plough+Place,London,London,United+Kingdom,EC4A+1DE",,-0.2,0.0
THE CALEDONIAN OPERATING COMPANY LIMITED,"4th+Floor+35+New+Bridge+Street,London,United+Kingdom,EC4V+6BW",Hotels and similar accommodation,-3.4,-393.5
THE COLLINSON GROUP LIMITED,"Cutlers+Exchange,123+Houndsditch,London,United+Kingdom,EC3A+7BU",Activities of head offices,33.8,25.1
The Corporation of the Cathedral Church of St Paul in London,"The+Chapter+House,St+Paul's+Churchyard,London,EC4M+8AD",Activities of religious organizations,1.2,0.0
THE FINANCIAL REPORTING COUNCIL LIMITED,"125,+London+Wall+8th+Floor,London,EC2Y+5AS",,21.8,21.3
The Prince's Trust,"Prince's+Trust+House,9+Eldon+Street,London,EC2M+7LS",,4.4,0.0
THE SAVOY HOTEL LIMITED,"C/O+Cms+Cameron+Mckenna+Llp,+78+Cannon+Street,London,EC4N+6AF",Hotels and similar accommodation,3.3,0.0
"THE SOLDIERS, SAILORS, AIRMEN AND FAMILIES ASSOCIATION - FORCES HELP","Queen+Elizabeth+House,4+St+Dunstan's+Hill,London,EC3R+8AD",,13.2,0.0
THOMAS MILLER & CO. LIMITED,"90+Fenchurch+Street,London,United+Kingdom,EC3M+4ST",Management consultancy activities other than financial management,45.5,50.0
THREADNEEDLE MANAGEMENT SERVICES LIMITED,"Cannon+Place,+78+Cannon+Street,London,EC4N+6AG",Other business support service activities n.e.c.,25.4,66.4
TOKIO MARINE KILN INSURANCE SERVICES LIMITED,"20+Fenchurch+Street,London,United+Kingdom,EC3M+3BY",Other business support service activities n.e.c.,29.2,22.9
TORONTO-DOMINION BANK (THE),"60,+Threadneedle+Street,London,EC2R+8AP",,47.9,84.1
"TOYS ""R"" US LIMITED","Cannon+Place,+78+Cannon+Street,,London,EC4N+6AF",Retail sale of games and toys in specialised stores,0.0,15.8
TPP RECRUITMENT LTD,"4th,+Floor+Sherborne+House,119-121+Cannon+Street,London,EC4N+5AT",Other activities of employment placement agencies,4.2,-187.8
TRANSPERFECT TRANSLATIONS LIMITED,"1st+Floor,+33+Aldgate+House+Aldgate+High+Street,London,United+Kingdom,EC3N+1AH",Other business support service activities n.e.c.,6.9,56.6
TRAVELJIGSAW LIMITED,"100+New+Bridge+Street,London,United+Kingdom,EC4V+6JA",Other business support service activities n.e.c.,24.8,39.5
Travers Smith Employment Services,"10+Snow+Hill,London,United+Kingdom,EC1A+2AL",,39.1,78.4
TRENITALIA C2C LIMITED,"Cutlers+Court,115+Houndsditch,London,England,EC3A+7BR","Passenger rail transport, interurban",22.0,0.0
Trinity House,"Trinity+House,Tower+Hill,London,EC3N+4DH",,26.7,23.2
Ts Tech UK Ltd,"5th+Floor+6+St+Andrew+Street,London,United+Kingdom,EC4A+3AE",Manufacture of other parts and accessories for motor vehicles,0.0,-2.4
TULLETT PREBON GROUP LIMITED,"Tower+42+Level+37,25+Old+Broad+Street,London,United+Kingdom,EC2N+1HQ",Activities of financial services holding companies,44.6,82.7
Unicredit Bank Aktiengesellschaft,"Moor+House,120+London+Wall,LONDON,LONDON,United+Kingdom,EC2Y+5ET",,51.9,65.5
UNILEVER U.K. CENTRAL RESOURCES LIMITED,"Unilever+House,+100+Victoria+Embankment,London,EC4Y+0DY",,14.9,43.4
UNITED KINGDOM ANTI-DOPING LIMITED,"Fleetbank+House,+2-6+Salisbury+Square,London,EC4Y+8AE",,3.1,6.4
URBN UK LIMITED,"STEPHENSON+HARWOOD,1+Finsbury+Circus,London,United+Kingdom,EC2M+7SH",Retail sale of clothing in specialised stores,-9.6,-7.8
V.SHIPS UK LIMITED,"1st+Floor+63+Queen+Victoria+Street,London,United+Kingdom,EC4N+4UA",Service activities incidental to water transportation,48.4,-290.0
Valero Energy Ltd,"100+Wood+Street,5th+Floor,London,England,EC2V+7EX",Activities of other holding companies n.e.c.,9.0,-12.0
"VALERO OPERATIONS SUPPORT, LTD","100,+Wood+Street,5th+Floor,London,England,EC2V+7EX",Activities of other holding companies n.e.c.,9.0,-12.0
"VANGUARD ASSET SERVICES, LTD.","4th,+Floor+The+Walbrook+Building,25+Walbrook,London,EC4N+8AF",Fund management activities,23.9,53.4
VILLIERS TOPCO LIMITED,"140+Aldersgate+Street,London,United+Kingdom,EC1A+4HY",Activities of head offices,2.0,29.9
VIRGIN ACTIVE INTERNATIONAL LIMITED,"100+Aldersgate+Street,London,United+Kingdom,EC1A+4LX",,10.4,33.8
VMWARE UK LIMITED,"5+New+Street+Square,London,United+Kingdom,EC4A+3TW",,34.1,58.5
VOCALINK LIMITED,"1+Angel+Lane,London,United+Kingdom,EC4R+3AB",Other business support service activities n.e.c.,24.5,26.8
WARNER MUSIC UK LIMITED,"Cannon+Place,+78+Cannon+Street,,London,England,EC4N+6AF",,21.0,44.0
"WEIL, GOTSHAL & MANGES (LONDON) LLP","110,+Fetter+Lane,London,United+Kingdom,EC4A+1AY",,53.3,55.8
"WELLS FARGO BANK, NATIONAL ASSOCIATION","1,+Plantation+Place+30+Fenchurch+Street,London,EC3M+3BD",,24.1,60.9
WEST MIDLANDS TRAINS LIMITED,"2nd,+Floor+St+Andrew's+House,18-20+St+Andrew+Street,London,United+Kingdom,EC4A+3AG","Passenger rail transport, interurban",14.1,8.5
WFL (UK) LIMITED,"The+Broadgate+Tower+Third+Floor,20+Primrose+Street,London,England,EC2A+2RS",Wholesale of petroleum and petroleum products,4.0,20.0
White & Case LLP,"5+Old+Broad+Street,London,United+Kingdom,EC2N+1DW",,31.0,71.0
William Jones's Schools Foundation,"Haberdashers+Hall,18+West+Smithfield,London,London,United+Kingdom,EC1A+9HQ",Other education n.e.c.,34.3,-325.0
WILLIS LIMITED,"51,+Lime+Street,London,EC3M+7DQ",,36.4,58.1
WINTON CAPITAL MANAGEMENT LIMITED,"16+Old+Bailey,London,United+Kingdom,EC4M+7EG",Security and commodity contracts dealing activities,22.4,25.9
WIRELESS DATA SERVICES LIMITED,"160+Queen+Victoria+Street,London,United+Kingdom,EC4V+4AN",Wireless telecommunications activities,10.2,15.4
WITHERS PROFESSIONAL SERVICES LIMITED,"16+Old+Bailey,London,United+Kingdom,EC4M+7EG",Other business support service activities n.e.c.,32.0,7.8
"WORLD FUEL SERVICES EUROPE, LTD.","The+Broadgate+Tower+Third+Floor,+20+Primrose+Street,London,England,EC2A+2RS",,37.0,37.0
WORLDPAY (UK) LIMITED,"The+Walbrook+Building,+25+Walbrook,London,EC4N+8AF",Other business support service activities n.e.c.,40.0,58.0
WSP MANAGEMENT SERVICES LIMITED,"Wsp+House,70+Chancery+Lane,London,United+Kingdom,WC2A+1AF","Other professional, scientific and technical activities n.e.c.",31.3,53.1
WSP UK LIMITED,"Wsp+House,70+Chancery+Lane,London,United+Kingdom,WC2A+1AF",Engineering related scientific and technical consulting activities,27.1,33.3
XBRIDGE LIMITED,"Sixth+Floor,99+Gresham+Street,London,United+Kingdom,EC2V+7NG",Other business support service activities n.e.c.,14.7,20.4
XCHANGING GLOBAL INSURANCE SOLUTIONS LIMITED,"The+Walbrook+Building,25+Walbrook,London,United+Kingdom,EC4N+8AQ",Information technology consultancy activities,21.0,0.0
XL CATLIN SERVICES SE,"20,+Gracechurch+Street,London,EC3V+0BG",Activities of insurance agents and brokers,31.4,53.6
ZORBA DELICACIES LIMITED,"5+Fleet+Place,London,United+Kingdom,EC4M+7RD",Manufacture of other food products n.e.c.,10.0,0.0
6Cats UK Ltd.,"1st+Floor+1-3+Sun+Street,London,England,EC2A+2EP",Management consultancy activities other than financial management,4.0,0.0
ACHESON & ACHESON LIMITED,"117+Charterhouse+Street,London,United+Kingdom,EC1M+6AA",,9.6,10.1
Addaction,"67-69+Cowcross+Street,London,United+Kingdom,EC1M+6PU",,0.9,0.0
ADMIRAL RECRUITMENT LIMITED,"Third+Floor+24+Chiswell+Street,,London,EC1Y+4YX",Other business support service activities n.e.c.,0.0,78.6
AKQA LIMITED,"1+St+John's+Lane,London,United+Kingdom,EC1M+4BL",Advertising agencies,30.5,10.0
ALLFORD HALL MONAGHAN MORRIS LIMITED,"Morelands,5+-+23+Old+Street,London,United+Kingdom,EC1V+9HL",Architectural activities,12.3,20.5
AMNESTY INTERNATIONAL LIMITED,"1+Easton+Street,London,United+Kingdom,WC1X+0DW",Activities of other membership organizations n.e.c.,5.7,0.0
APLEONA HSG LIMITED,"7th+Floor+26+Finsbury+Square,London,United+Kingdom,EC2A+1DS",Combined facilities support activities,10.9,62.6
"ARBUTHNOT LATHAM & CO., LIMITED","Arbuthnot+House,7+Wilson+Street,London,United+Kingdom,EC2M+2SN",Financial intermediation not elsewhere classified,35.0,63.0
ARVATO LIMITED,"One,Fleet+Place,London,United+Kingdom,EC4M+7WS",,0.0,27.8
ARVATO PUBLIC SECTOR SERVICES LIMITED,"One,Fleet+Place,London,United+Kingdom,EC4M+7WS",General public administration activities,17.7,11.3
ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS (UK) ,"The+Helicon,+One+South+Place,London,England,EC2M+2RB",,24.7,-20.0
BARCHESTER HEALTHCARE LIMITED,"3rd+Floor+The+Aspect,Finsbury+Square,London,United+Kingdom,EC2A+1AS",Activities of head offices,1.6,17.5
BAYLIS (GLOUCESTER) LIMITED,"10+Chiswell+Street,London,Uk,EC1Y+4UQ",Sale of new cars and light motor vehicles,17.6,36.8
BE ROTA LIMITED,"Devonshire+House,60+Goswell+Road,London,United+Kingdom,EC1M+7AD",Other business support service activities n.e.c.,0.0,0.0
C. Hoare & Co.,"37+Fleet+Street,London,United+Kingdom,EC4P+4DQ",Banks,28.3,38.5
CAMERON HOUSE RESORT (LOCH LOMOND) LIMITED,"One,Fleet+Place,London,United+Kingdom,EC4M+7WS",Hotels and similar accommodation,2.4,38.2
Cancer Research UK,"Angel+Building,407+St.+John+Street,London,United+Kingdom,EC1V+4AD",Other human health activities,19.2,18.8
CATCH 22 CHARITY LIMITED,"27+Pear+Tree+Street,London,United+Kingdom,EC1V+3AG",Other social work activities without accommodation n.e.c.,13.0,0.0
City Of London Academies Trust,"Guildhall,PO+BOX+270,+Gresham+Street,London,United+Kingdom,EC2P+2EJ",,25.3,5.1
City of London Corporation,"Guildhall,Po+Box+270,London,London,United+Kingdom,EC2P+2EJ",,1.4,0.0
"City, University Of London","Northampton+Square,London,London,United+Kingdom,EC1V+0HB",,16.2,66.7
CLH PIPELINE SYSTEM (CLH-PS) LTD,"69,+Wilson+Street,London,England,EC2A+2BB",Transport via pipeline,8.8,64.2
CORPS OF COMMISSIONAIRES MANAGEMENT LIMITED,"Market+House,85+Cowcross+Street,London,United+Kingdom,EC1M+6PF",,-3.0,-2.0
CORY ENVIRONMENTAL HOLDINGS LIMITED,"2+Coldbath+Square,London,United+Kingdom,EC1R+5HL",Activities of head offices,13.0,32.0
DAIWA CAPITAL MARKETS EUROPE LIMITED,"5+King+William+Street,London,United+Kingdom,EC4N+7AX",Financial intermediation not elsewhere classified,40.2,50.0
DARKSTORM TRADING LIMITED,"82+St+John+Street,London,United+Kingdom,EC1M+4JN",Other business support service activities n.e.c.,6.2,-90.0
Dentons UKmea Legal Services,"One+Fleet+Place,London,United+Kingdom,EC4M+7WS",Other business support service activities n.e.c.,34.3,50.7
Dogs Trust,"17+Wakley+Street,London,EC1V+7RQ",Veterinary activities,5.1,13.3
DONVAND LIMITED,"27+Goswell+Road,London,United+Kingdom,EC1M+7GT",Other service activities n.e.c.,27.3,20.8
ETM GROUP LIMITED,"Devonshire+House,60+Goswell+Road,London,United+Kingdom,EC1M+7AD",Other business support service activities n.e.c.,0.0,-141.4
EUROMONITOR INTERNATIONAL LIMITED,"60-61,+Britton+Street,London,EC1M+5UX",Other publishing activities,21.6,27.0
EXPEDIA.COM LIMITED,"407+Angel+Building,St+John+Street,London,United+Kingdom,EC1V+4EX",,18.6,29.9
EXPERIS LIMITED,"The+Helicon,One+South+Place,London,United+Kingdom,EC2M+2RB",Temporary employment agency activities,26.2,54.0
Family Action,"24+Angel+Gate,City+Road,London,United+Kingdom,EC1V+2PT",Other social work activities without accommodation n.e.c.,6.2,-23.7
FARFETCH UK LIMITED,"The+Bower,+211+Old+Street,London,England,EC1V+9NR",Retail sale via mail order houses or via Internet,40.7,23.2
FRED PERRY LIMITED,"37+Mount+Pleasant,Clerkenwell,London,United+Kingdom,WC1X+0AA",Manufacture of other wearing apparel and accessories n.e.c.,2.0,-13.4
FRESHFIELDS SERVICE COMPANY,"Whitefriars,65+Fleet+Street,London,United+Kingdom,EC4Y+1HS",,13.3,33.3
GO MOTOR RETAILING LTD,"10,+Chiswell+Street,London,EC1Y+4UQ",Sale of new cars and light motor vehicles,12.8,35.7
Grant Thornton Business Services,"30+Finsbury+Square,London,England,EC2A+1AG",Other service activities n.e.c.,18.3,50.0
Grant Thornton Services LLP,"30+Finsbury+Square,London,England,EC2A+1AG",,34.5,62.5
HAWKINS BROWN ARCHITECTS LLP,"159,+St.+John+Street,London,EC1V+4QJ",,2.6,1.7
HILL & KNOWLTON LIMITED,"The+Buckley+Building,+49+Clerkenwell+Green,London,EC1R+0EB",Other business support service activities n.e.c.,-3.9,25.7
HOTEL DU VIN TRADING LIMITED,"30-31+Cowcross+Street,London,England,EC1M+6DQ",Hotels and similar accommodation,2.7,0.3
INMARSAT GLOBAL LIMITED,"99+City+Road,London,United+Kingdom,EC1Y+1AX",,24.1,38.8
KAIAM EUROPE LIMITED,"One+Fleet+Place,London,England,England,EC4M+7WS",Other telecommunications activities,0.0,0.0
Kingsley Napley LLP,"Knights+Quarter,14+St+John's+Lane,London,United+Kingdom,EC1M+4AJ",,22.9,0.0
KINGSTON SMITH GROUP SERVICES LIMITED,"Devonshire+House,60+Goswell+Road,London,United+Kingdom,EC1M+7AD",Other business support service activities n.e.c.,0.0,50.0
KURT GEIGER LIMITED,"24+Britton+Street,London,United+Kingdom,EC1M+5UA",Retail sale of footwear in specialised stores,26.0,53.0
LASER TRADECO LIMITED,"HUDSON+ADVISORS+UK+LIMITED,17+Dominion+Street,London,United+Kingdom,EC2M+2EF",Hotels and similar accommodation,3.7,20.2
Leigh Day,"Priory+House,25+St+Johns+Lane,Farringdon,EC1M+4LB",Solicitors,9.9,-9.4
MALMAISON TRADING LIMITED,"30-31+Cowcross+Street,London,England,EC1M+6DQ",Hotels and similar accommodation,2.6,13.6
MARKIT GROUP LIMITED,"4th,+Floor+Ropemaker+Place,25+Ropemaker+Street,London,EC2Y+9LY",Financial intermediation not elsewhere classified,25.3,33.3
MER MANOR OPERATIONS LIMITED,"17,+Dominion+Street,London,England,EC2M+2EF",Hotels and similar accommodation,0.0,21.0
Monzo Bank Limited,"230+City+Road,EC1V+2QY",,48.0,47.0
MOO PRINT LIMITED,"20+Farringdon+Road,London,Great+Britain,EC1M+3AF",Other service activities n.e.c.,28.9,0.0
Moorfields Eye Hospital NHS Foundation Trust,"162+City+Road,London,EC1V+2PD",,18.5,-26.3
Mufg Securities Emea PLC,"Ropemaker+Place,+25+Ropemaker+Street,London,EC2Y+9AJ",,34.3,51.6
National Autistic Society(The),"393+City+Road,London,United+Kingdom,EC1V+1NG",,-0.6,0.0
National Centre For Social Research,"35+Northampton+Square,London,United+Kingdom,EC1V+0AX",Research and experimental development on social sciences and humanities,-15.0,0.0
National Council Of Young Men's Christian Associations(Incorporated)(The),"Ymca+England,3rd+Floor,+10-11+Charterhouse+Square,London,England,EC1M+6EE",Activities of other membership organizations n.e.c.,5.0,0.0
NUCLEUS HOLDINGS LIMITED,"76-78+Old+Street,London,United+Kingdom,EC1V+9AZ",Activities of head offices,18.6,22.2
OFFICE HOLDINGS LIMITED,"Classic+House+Martha's+Buildings,180+Old+Street,London,United+Kingdom,EC1V+9BP",Retail sale of footwear in specialised stores,2.6,22.1
OLD MUTUAL GLOBAL INVESTORS (UK) LIMITED,"Millennium+Bridge+House,+2+Lambeth+Hill,London,United+Kingdom,EC4P+4WR",Financial intermediation not elsewhere classified,31.0,65.0
OLIVER MARKETING LIMITED,"151,+Rosebery+Avenue,London,England,EC1R+4AB",Media representation services,12.5,-7.1
PARK RESORTS LIMITED,"3+Bunhill+Row,London,United+Kingdom,EC1Y+8YZ","Recreational vehicle parks, trailer parks and camping grounds",3.3,65.5
PHO TRADING LIMITED,"15+Clerkenwell+Green,London,United+Kingdom,EC1R+0DP",Licensed restaurants,2.8,-15.5
Place2Be,"13/14+Angel+Gate,326+City+Road,London,United+Kingdom,EC1V+2PT",,1.3,80.0
POST OFFICE LIMITED,"Finsbury+Dials+20+Finsbury+Street,London,United+Kingdom,EC2Y+9AQ",,13.1,16.8
Pre-School Learning Alliance,"50+Featherstone+Street,London,England,EC1Y+8RT",,20.0,0.0
PRINOVIS UK LIMITED,"One+Fleet+Place,London,United+Kingdom,EC4M+7WS",Other publishing activities,21.4,18.0
Radley & Co Limited,"3rd+Floor,+McBeath+House,310+Goswell+Road,London,EC1V+7LW",,31.0,-100.0
RAIL SAFETY AND STANDARDS BOARD LIMITED,"The+Helicon,1+South+Place,London,England,EC2M+2RB",,26.0,24.0
REEVE (DERBY) LIMITED,"10,+Chiswell+Street,London,Uk,EC1Y+4UQ",Sale of new cars and light motor vehicles,12.7,44.0
Royal Mencap Society,"123+Golden+Lane,London,United+Kingdom,EC1Y+0RT","Residential care activities for learning difficulties, mental health and substance abuse",2.5,0.0
SADLER'S WELLS TRUST LIMITED,"Sadler's+Wells,+Rosebery+Avenue,London,EC1R+4TN",Performing arts,16.1,37.5
SAGE PUBLICATIONS LIMITED,"1+Olivers+Yard,55+City+Road,London,United+Kingdom,EC1Y+1SP",Publishing of  consumer and business journals and periodicals,14.5,20.7
Save The Children Fund,"1+St.+John's+Lane,London,United+Kingdom,EC1M+4AR",Other social work activities without accommodation n.e.c.,8.3,0.0
SCHAWK UK LIMITED,"Second+Floor+Angel+House,338-346+Goswell+Road,London,United+Kingdom,EC1V+7LQ",Other business support service activities n.e.c.,11.9,4.1
"SHELTER, THE NATIONAL CAMPAIGN FOR HOMELESS PEOPLE LIMITED","88,+Old+Street,London,EC1V+9HU",Other social work activities without accommodation n.e.c.,7.4,0.0
SLAUGHTER AND MAY SERVICES COMPANY,"2,+Lambs+Passage,London,EC1Y+8BB",Other business support service activities n.e.c.,38.5,54.8
SOUTH LAKELAND PARKS LIMITED,"3,+Bunhill+Row,London,EC1Y+8YZ","Recreational vehicle parks, trailer parks and camping grounds",0.8,52.2
SPARK44 LIMITED,"The+White+Collar+Factory,+1+Old+Street+Yard,London,England,EC1Y+8AF",Advertising agencies,12.0,14.9
St. John Ambulance,"St+John's+Gate,St.+John's+Lane,London,England,EC1M+4DA",Other human health activities,5.3,-141.6
Stroke Association,"Stroke+Association+House,240+City+Road,London,United+Kingdom,EC1V+2PR",Other human health activities,13.2,0.0
TB RESORT OPERATIONS LIMITED,"One,Fleet+Place,London,United+Kingdom,EC4M+7WS",,1.4,-22.5
TEMCOUK FACILITY SERVICES LIMITED,"Devonshire+House,+60+Goswell+Road,London,EC1M+7AD",General cleaning of buildings,3.0,-24.8
THE CHURCH OF ENGLAND CHILDREN'S SOCIETY,"Edward+Rudolf+House,+Margery+Street,London,WC1X+0JL",Other social work activities without accommodation n.e.c.,20.8,0.0
THE LONDON METAL EXCHANGE,"10,+Finsbury+Square,London,United+Kingdom,EC2A+1AJ",Security and commodity contracts dealing activities,25.7,13.1
The National Deaf Children's Society,"Ground+Floor+South+Castle+House,37-45+Paul+Street,London,United+Kingdom,EC2A+4LS",Other social work activities without accommodation n.e.c.,13.3,0.0
The United Kingdom Committee For Unicef,"Unicef+House,30a+Great+Sutton+Street,London,United+Kingdom,EC1V+0DU",,5.1,0.0
Thompsons Solicitors LLP,"Congress+House,Great+Russell+Street,London,United+Kingdom,WC1B+3LW",,43.5,0.0
TOGETHER FOR MENTAL WELLBEING,"12+,+Old+Street,London,EC1V+9BE",,9.2,0.0
TRIPP LIMITED,"2-5+,+Saint+Johns+Square,London,EC1M+4DE",Other retail sale in non-specialised stores,0.0,0.0
TROWERS & HAMLINS (SERVICES) LIMITED,"3,+Bunhill+Row,London,EC1Y+8YZ",Other business support service activities n.e.c.,28.3,31.4
Trowers & Hamlins LLP,"3+Bunhill+Row,London,United+Kingdom,EC1Y+8YZ",,5.9,3.8
UNIVERSAL COMMERCIAL GUARDING LIMITED,"326,+City+Road,London,EC1V+2AA",Private security activities,-6.0,0.0
W.L. GORE AND ASSOCIATES (U.K.) LIMITED,"One,Fleet+Place,London,England,EC4M+7WS",Manufacture of other technical and industrial textiles,17.9,20.6
Yo! Sushi UK Ltd,"95+Farringdon+Road,Clerkenwell,London,United+Kingdom,EC1R+3BT",Licensed restaurants,0.0,25.9
YouGov PLC,"50+Featherstone+Street,London,United+Kingdom,EC1Y+8RT",Market research and public opinion polling,28.7,27.5
ZAHA HADID LIMITED,"Studio+9+10+Bowling+Green+Lane,London,United+Kingdom,EC1R+0BQ",Architectural activities,19.6,33.3
A P Security (Aps) Ltd,"71-75+Shelton+Street,London,United+Kingdom,WC2H+9JQ",Other business support service activities n.e.c.,0.0,0.0
ABC TEACHERS LIMITED,"26,+Red+Lion+Square,London,England,WC1R+4HQ",,7.8,0.0
ACTURIS LIMITED,"Courtyard+Suite,+100+Hatton+Garden,London,EC1N+8NX",Other information technology service activities,16.2,16.3
Age UK,"Tavis+House,1+-+6+Tavistock+Square,London,United+Kingdom,WC1H+9NA",Residential care activities for the elderly and disabled,17.3,-300.0
Age UK Trading Cic,"Tavis+House,1+-+6+Tavistock+Square,London,United+Kingdom,WC1H+9NA",Other business support service activities n.e.c.,8.9,0.0
ALDO UK LIMITED,"4+Bedford+Row,London,United+Kingdom,WC1R+4TF",Retail sale of footwear in specialised stores,1.0,45.4
ALL STAR LEISURE (GROUP) LIMITED,"8+Gate+Street,Descartes+House,+2nd+Floor,London,England,WC2A+3HP",Agents involved in the sale of a variety of goods,-8.5,-31.0
ALSTOM TRANSPORT UK LIMITED,"The+Place,175+High+Holborn,London,United+Kingdom,WC1V+7AA",,27.7,29.4
ANCHOR CAREHOMES LIMITED,"The+Heals+Building+Suites+A+&+B,Torrington+Place,London,United+Kingdom,WC1E+7HJ",Residential care activities for the elderly and disabled,0.6,0.0
Anchor Trust,"The+Heals+Building+Suites+A+&+B,+3rd+Floor,22-24+Torrington+Place,London,United+Kingdom,WC1E+7HJ",,8.7,11.1
ANOTECH ENERGY GLOBAL SOLUTIONS LIMITED,"3rd+Floor+Fairgate+House,78+New+Oxford+Street,London,United+Kingdom,WC1A+1HB",Management consultancy activities other than financial management,6.3,0.0
Architectural Association (Incorporated),"34-36+Bedford+Square,London,United+Kingdom,WC1B+3ES",,0.0,0.0
ARGUS MEDIA LIMITED,"Lacon+House,84+Theobald's+Road,London,United+Kingdom,WC1X+8NL",Other publishing activities,18.2,50.0
Ark Schools,"65+Kingsway,London,United+Kingdom,WC2B+6TD",,18.0,8.0
"Birkbeck College, University of London","Malet+Street,London,WC1E+7HX",,5.2,33.3
Bloomsbury Publishing PLC,"50+Bedford+Square,London,United+Kingdom,WC1B+3DP",,17.2,46.0
BRITISH HORSERACING AUTHORITY LIMITED,"75,+High+Holborn,London,WC1V+6LS",Other sports activities,15.0,31.0
British Medical Association,"Bma+House+British+Medical+Association,Tavistock+Square,London,United+Kingdom,WC1H+9JP",,13.6,0.0
BURGER & LOBSTER RESTAURANT GROUP LIMITED,"37-41+Bedford+Row,London,United+Kingdom,WC1R+4JH",Activities of other holding companies n.e.c.,0.3,0.0
Cafcass,"3rd+Floor,21+Bloomsbury+Street,London,WC1B+3HF",,0.0,0.0
CAPITAL ARCHES GROUP LIMITED,"5th,+Floor+112+High+Holborn,London,United+Kingdom,WC1V+6JS",Unlicensed restaurants and cafes,3.4,85.8
CEB GLOBAL LIMITED,"Victoria+House+Fourth+Floor+37-63+Southampton+Row,Bloomsbury+Square,London,United+Kingdom,WC1B+4DR",Other information service activities n.e.c.,0.5,-41.1
City Lit (The City Literary Institute),"1-10+Keeley+Street,Covent+Garden,London,WC2B+4BA",,0.0,0.0
Civil Aviation Authority,"CAA+House,45-49+Kingsway,London,Middlesex,United+Kingdom,WC2B+6TE",,41.6,16.2
CLARANET LIMITED,"21+Southampton+Row,London,United+Kingdom,WC1B+5HA",Other information technology service activities,28.1,71.9
Competition and Markets Authority,"Victoria+House,37+Southampton+Row,London,WC1B+4AD",,4.4,27.1
Creative Education Trust,"7+Sicilian+Avenue,London,England,WC1A+2QR",,26.9,0.0
CURZON WORLD LIMITED,"2nd,+Floor+20-22+Stukeley+Street,London,WC2B+5LR",Activities of head offices,0.0,22.8
CYIENT EUROPE LIMITED,"52-54,+High+Holborn+Second+Floor,High+Holborn+House,London,WC1V+6RL",Information technology consultancy activities,20.8,23.1
D&D LONDON LIMITED,"16,+Kirby+Street,London,EC1N+8TS",Activities of head offices,-0.9,38.9
DELFONT MACKINTOSH THEATRES LIMITED,"1+Bedford+Square,London,United+Kingdom,WC1B+3RB",Artistic creation,13.4,-2.3
DENNIS PUBLISHING LIMITED,"31+-+32+Alfred+Place,London,England,WC1E+7DP",Publishing of  consumer and business journals and periodicals,-1.1,39.0
DIESEL (LONDON) LIMITED,"55,+Argyle+Street,London,WC1H+8EE",,-2.0,32.1
EDE & RAVENSCROFT LIMITED,"93+Chancery+Lane,London,United+Kingdom,WC2A+1DU",,9.9,4.0
EVANDER GLAZING AND LOCKS LIMITED,"Third+Floor+International+Buildings,71+Kingsway,London,England,WC2B+6ST",,13.2,98.1
EXCELCARE (HOME CARE DIVISION) LIMITED,"99,+Gray's+Inn+Road,London,WC1X+8TY",Residential care activities for the elderly and disabled,0.0,0.0
Exterion Media (Uk) Limited,"7th+Floor,+Lacon+House,84+Theobald's+Road,London,England,WC1X+8NL",Advertising agencies,10.3,-78.0
